SMILES,HOMO,LUMO,S1,T1
C1=C(c2cccc3sccc23)B2c3ccc4oc(-c5cccc6oc7ccccc7c56)c(-c5cccc6sc7ccccc7c56)c4c=3Nc3cc4ccc5ccccc5c4c(c32)N1,-4.972681999206543,-1.9320166110992432,2.5169179439544678,1.8242976665496826
C1=C(c2cccc3sccc23)B2c3ccc4oc(-c5cccc6oc7ccccc7c56)c(-c5ccc6sc7ccccc7c6c5)c4c=3Nc3cc4ccc5ccccc5c4c(c32)N1,-5.004474639892578,-1.8427993059158325,2.6160762310028076,1.8084867000579834
C1=C(c2ccc3ccsc3c2)B2c3ccc4oc(-c5ccc6oc7ccccc7c6c5)c(-c5cccc6sc7ccccc7c56)c4c=3Nc3cc4ccc5ccccc5c4c(c32)N1,-4.973911762237549,-1.8294625282287598,2.586616039276123,1.7956069707870483
C1=C(c2ccc3sccc3c2)Nc2c3c(cc4ccc5ccccc5c24)Nc2c4c(-c5cccc6sc7ccccc7c56)c(-c5cccc6oc7ccccc7c56)oc4ccc=2B13,-4.988402843475342,-1.8966914415359497,2.5384740829467773,1.811240315437317
C1=C(c2ccc3ccsc3c2)B2c3cc4oc(-c5cccc6oc7ccccc7c56)c(-c5cccc6sc7ccccc7c56)c4cc=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.945105075836182,-1.822009563446045,2.6172738075256348,1.83620023727417
C1=C(c2ccc3ccsc3c2)B2c3cc4oc(-c5cccc6oc7ccccc7c56)c(-c5ccc6sc7ccccc7c6c5)c4cc=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.995516777038574,-1.8190457820892334,2.669487476348877,1.7862802743911743
C1=C(c2ccc3ccsc3c2)B2c3cc4oc(-c5ccc6oc7ccccc7c6c5)c(-c5cccc6sc7ccccc7c56)c4cc=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.974262714385986,-1.7745025157928467,2.6230220794677734,1.81061851978302
C1=C(c2ccc3ccsc3c2)B2c3cc4oc(-c5ccc6oc7ccccc7c6c5)c(-c5ccc6sc7ccccc7c6c5)c4cc=3Nc3c2c(cc2cc4ccccc4cc32)N1,-5.000522613525391,-1.7476545572280884,2.694157361984253,1.824652910232544
C1=C(c2cccc3ccsc23)B2c3cc4oc(-c5cccc6oc7ccccc7c56)c(-c5cccc6sc7ccccc7c56)c4cc=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.935971260070801,-1.7998687028884888,2.6048190593719482,1.8582290410995483
C1=C(c2cccc3ccsc23)B2c3cc4oc(-c5cccc6oc7ccccc7c56)c(-c5ccc6sc7ccccc7c6c5)c4cc=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.971803665161133,-1.7976458072662354,2.6476919651031494,1.8311371803283691
