SMILES,HOMO,LUMO,S1,T1
CC1=CC=C2C(=C1)B1C3=C(N2C2=CC=C4C(=C2)C2=CC=CC=C2O4)C=C(C=C3N(C2=C1SC1=C2C(=CC=C1)N(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC(=C1)C(C)(C)C)N(C1=CC=CC=C1)C1C=CC=CC=1,-4.991867542266846,-1.7243479490280151,2.98486065864563,2.9805970191955566
CC1C=CC2=C(C=1)B1C3SC4C(C=3N(C3=C1C(N2C1=CC=C2C(=C1)OC1C2=CC=CC=1)=CC(=C3)N(C1=CC=CC=C1)C1C=CC=CC=1)C1=CC=CC(=C1)C(C)(C)C)=CC(=CC=4)N(C1=CC=CC=C1)C1C=CC=CC=1,-4.846695899963379,-1.5218957662582397,3.354560613632202,3.3505914211273193
CC(C1=CC=CC(=C1)N1C2=CC(=CC3=C2B(C2=C1C1=CC(=CC=C1S2)C(C)(C)C)C1=C(N3C2=CC=C3C(=C2)C2C=CC=CC=2S3)C=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1)N(C1C=CC=CC=1)C1=CC=CC=C1)(C)C,-4.814678192138672,-1.4365956783294678,3.4357223510742188,3.435189962387085
CC1=CC=C2C(=C1)C1=C(S2)B2C3=CC=C(C=C3N(C3=C2C(N1C1=CC=CC(=C1)C(C)(C)C)=CC(=C3)N(C1C=CC=CC=1)C1=CC=CC=C1)C1=CC=CC2=C1C=CC=C2)N(C1C=CC=CC=1)C1=CC=CC=C1,-4.826967716217041,-1.4728164672851562,3.4203732013702393,3.4186694622039795
CC(C1=CC=C2C(=C1)B1C3C(N2C2=CC=C4C(=C2)C2=CC=CC=C2O4)=CC(=CC=3N(C2=C1SC1=C2C(=CC=C1)N(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC(=C1)C(C)(C)C)N(C1=CC=CC=C1)C1C=CC=CC=1)(C)C,-4.998456954956055,-1.7324862480163574,2.974260091781616,2.9732792377471924
CC(C1=CC=CC(=C1)N1C(=NC2C1=CC1N(C3C=C(C=C4C=3B(C=1C=2)C1SC2=C(C=1N4C1C=CC=C(C=1)C(C)(C)C)C=CC=C2)N1C2C=CC=CC=2C2C1=CC=CC=2)C1=CC=CC2=C1C1C=CC=CC=1C1C2=CC=CC=1)C1=CC=C2C(=C1)C1C=CC=CC=1O2)(C)C,-4.867232799530029,-1.6213221549987793,3.2628257274627686,3.2604212760925293
CC(C1=CC=C(C=C1)N(C1=CC2N(C3=CC=C(C=C3)C(C)(C)C)C3=CC=CC4=C3B(C=2C=C1N(C1=CC=C(C=C1)C(C)(C)C)C1C=CC(=CC=1)C(C)(C)C)C1=CC(=CC=C1N4C1C=CC(=CC=1)C(C)(C)C)C(C)(C)C)C1=CC=C(C=C1)C(C)(C)C)(C)C,-4.782660484313965,-1.4018235206604004,3.196805953979492,3.1961822509765625
CC1=CC(C)=C(C(=C1)C)N1C2C=C3C(=CC=2B2C4C1=CC1N(C5C(C)=CC(=CC=5C)C)C5=CC6=C(C=C5B5C=1C=4N1C4=C2C=C(C)C=C4C2C1=C5C=C(C=2)C)C1C(N6C2=CC=CC=C2)=CC=CC=1)C1C(N3C2=CC=CC=C2)=CC=CC=1,-5.025805473327637,-1.7803318500518799,3.246110200881958,3.240712881088257
CC1=CC=C2C(=C1)B1C3SC4=C(C=3N(C3C1=C(N2C1=CC=CC2=C1C=CC=C2)C=C(C=3)N(C1C=CC=CC=1)C1=CC=CC=C1)C1C=CC=C(C=1)C(C)(C)C)C=CC(=C4)N(C1=CC=CC=C1)C1C=CC=CC=1,-4.755655765533447,-1.5041475296020508,3.3470516204833984,3.344604015350342
C1C=CC(=CC=1)N(C1C=CC2C(C=1)=CC=CC=2)C1=CC=C2C(=C1)N1C3C=CC=CC=3C3=C1C1B2C2=CC=C(C=C2N2C=1C(=C3)C1C2=CC=CC=1)N(C1=CC=C2C(=C1)C=CC=C2)C1=CC=CC=C1,-5.312893867492676,-1.9744757413864136,3.3808414936065674,3.3866262435913086
CC(C1=CC=C(C=C1)N(C1=CC2N(C3=CC=NC=C3)C3C=CC=C4C=3B(C=2C2=C1C1C=CC=CC=1O2)C1=CC(=CC=C1N4C1C=CC(=CC=1)C(C)(C)C)C(C)(C)C)C1=CC=C(C=C1)C(C)(C)C)(C)C,-4.920352935791016,-1.4686510562896729,3.304704189300537,3.3019721508026123
CC(C1=CC=CC(=C1)N1C2=CC=CC3=C2B(C2=C1C1=CC=CC(=C1S2)N(C1=CC=CC=C1)C1C=CC=CC=1)C1=C(N3C2C=CC3=C(C=2)OC2=C3C=CC=C2)C=C(C=C1)N(C1C=CC=CC=1)C1C=CC=CC=1)(C)C,-4.81904411315918,-1.4710054397583008,3.396521806716919,3.398711681365967
CC1C=CC2=C(C=1)B1C3SC4C(C=3N(C3C1=C(N2C1C=CC2=C(C=1)OC1=C2C=CC=C1)C=C(C=3)N(C1C=CC=CC=1)C1=CC=CC=C1)C1=CC=CC(=C1)C(C)(C)C)=CC=C(C=4)N(C1C=CC=CC=1)C1=CC=CC=C1,-4.770370960235596,-1.4682888984680176,3.4072327613830566,3.402703285217285
